,calling,clapping,cycling,dancing,drinking,eating,fighting,hugging,laughing,listening_to_music,running,sitting,sleeping,texting,using_laptop
calling,104,2,0,0,3,1,0,2,3,9,1,2,0,8,2
clapping,1,90,0,2,1,5,0,1,2,0,0,1,1,4,0
cycling,0,0,118,1,1,0,0,0,0,0,0,0,0,1,0
dancing,1,5,0,115,0,0,7,1,4,2,2,0,1,0,1
drinking,0,0,1,2,92,3,0,0,2,6,0,3,0,9,0
eating,4,0,0,0,3,119,0,0,0,0,0,1,0,2,2
fighting,0,1,1,8,0,0,107,3,0,1,3,2,1,0,0
hugging,1,1,0,1,0,0,0,119,5,1,1,1,4,3,0
laughing,4,1,0,0,2,0,0,3,100,0,1,2,3,1,0
listening_to_music,5,0,0,2,5,2,1,0,5,91,0,1,1,6,1
running,0,1,2,4,0,0,7,0,0,0,121,1,0,0,0
sitting,1,3,1,0,0,2,0,2,2,2,0,98,1,1,7
sleeping,1,0,1,2,1,0,0,3,1,3,1,4,110,0,1
texting,10,1,1,1,6,2,0,2,3,5,0,6,3,82,3
using_laptop,7,0,0,0,1,2,0,0,3,1,0,6,0,2,104
